image_id,category,question,question_type,ground_truth
236426,tennis racket,Is there a tennis racket in this image? Answer yes or no.,present,True
236426,bed,Is there a bed in this image? Answer yes or no.,absent_random,False
236426,car,Is there a car in this image? Answer yes or no.,absent_adversarial,False
290833,zebra,Is there a zebra in this image? Answer yes or no.,present,True
290833,book,Is there a book in this image? Answer yes or no.,absent_random,False
290833,giraffe,Is there a giraffe in this image? Answer yes or no.,absent_adversarial,False
301421,car,Is there a car in this image? Answer yes or no.,present,True
301421,dog,Is there a dog in this image? Answer yes or no.,absent_random,False
301421,person,Is there a person in this image? Answer yes or no.,absent_adversarial,False
466416,clock,Is there a clock in this image? Answer yes or no.,present,True
466416,broccoli,Is there a broccoli in this image? Answer yes or no.,absent_random,False
466416,person,Is there a person in this image? Answer yes or no.,absent_adversarial,False
286708,cat,Is there a cat in this image? Answer yes or no.,present,True
286708,banana,Is there a banana in this image? Answer yes or no.,absent_random,False
286708,bed,Is there a bed in this image? Answer yes or no.,absent_adversarial,False
447088,baseball bat,Is there a baseball bat in this image? Answer yes or no.,present,True
447088,wine glass,Is there a wine glass in this image? Answer yes or no.,absent_random,False
447088,chair,Is there a chair in this image? Answer yes or no.,absent_adversarial,False
311928,person,Is there a person in this image? Answer yes or no.,present,True
311928,toilet,Is there a toilet in this image? Answer yes or no.,absent_random,False
311928,chair,Is there a chair in this image? Answer yes or no.,absent_adversarial,False
477623,train,Is there a train in this image? Answer yes or no.,present,True
477623,umbrella,Is there a umbrella in this image? Answer yes or no.,absent_random,False
477623,person,Is there a person in this image? Answer yes or no.,absent_adversarial,False
130826,bench,Is there a bench in this image? Answer yes or no.,present,True
130826,tie,Is there a tie in this image? Answer yes or no.,absent_random,False
130826,chair,Is there a chair in this image? Answer yes or no.,absent_adversarial,False
210099,cat,Is there a cat in this image? Answer yes or no.,present,True
210099,tennis racket,Is there a tennis racket in this image? Answer yes or no.,absent_random,False
210099,person,Is there a person in this image? Answer yes or no.,absent_adversarial,False
397681,orange,Is there a orange in this image? Answer yes or no.,present,True
397681,parking meter,Is there a parking meter in this image? Answer yes or no.,absent_random,False
397681,chair,Is there a chair in this image? Answer yes or no.,absent_adversarial,False
359937,bus,Is there a bus in this image? Answer yes or no.,present,True
359937,orange,Is there a orange in this image? Answer yes or no.,absent_random,False
359937,person,Is there a person in this image? Answer yes or no.,absent_adversarial,False
500423,train,Is there a train in this image? Answer yes or no.,present,True
500423,broccoli,Is there a broccoli in this image? Answer yes or no.,absent_random,False
500423,chair,Is there a chair in this image? Answer yes or no.,absent_adversarial,False
378605,donut,Is there a donut in this image? Answer yes or no.,present,True
378605,sports ball,Is there a sports ball in this image? Answer yes or no.,absent_random,False
378605,person,Is there a person in this image? Answer yes or no.,absent_adversarial,False
